v1,v2
HAM,ايجاد نام كاربر و سمت در EORG
SPAN,نياز به يك عددddr ram512
SPAN,نياز به آماده سازي وتحويل سيستم
SPAN,نياز به يك عدد سيستم يونيت
HAM,تحويل وجابجايي سيستم يونيت(جهت صدور فرم تحويل)
HAM,تحويل وجابجايي سيستم يونيت(جهت صدور فرم تحويل)
HAM,اشكال در Extra
HAM,نصب و راه اندازي سيستم
HAM,نياز به جابجايي ونصب سيستم
HAM,اشكال در eorg
HAM,نصب پرينتر
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,اشكال در چاپ
HAM,نياز به نصب و راه اندازي سيستم
HAM,اشكال در اينترنت اكسپلورر
HAM,راه اندازي سيستم
SPAN,نياز به تونر 2014
SPAN,تحويل سيستم يونيت
HAM,پرينتر 2014 مشكل دارد .
HAM,روشن نميشود
HAM,نصب فونت LOGO
SPAN,نياز به محافظ برق
SPAN,نياز به يك عدد فن cpu478
SPAN,نياز به تونر 1320
HAM,اشكال در سيستم
HAM,اشكال فرستادن چاپ در نرم افزار EXtra
HAM,اشكال در سيستم
HAM,نصب و راه اندازي پرينتر 2014 و انجام عمليات Small Office
HAM,انتقال اطلاعات از سيستم خ انتظام
HAM,تعريف پرينتر 1320
HAM,نصب پرينتر تحت شبكه
SPAN,نياز به يك عدد كابل برق
HAM,سيستم اشكال دارد
SPAN,نياز به يك عدد كابل lpt1
HAM,پرينتر اشكال دارد
SPAN,نياز به يك عدد CD
HAM,رفع ا?راد شبکه
HAM,تغيير درايور 2014
HAM,نصب نرم افزار EXtra
HAM,اينترانت مشكل دارد .
HAM,سيستم مشكل دارد .
HAM,سيستم مشكل دارد .
HAM,كيبرد اشكال  دارد
SPAN,موس خراب مي باشد.
HAM,آموزش كار با EOrg
HAM,آموزش كار با EOrg
HAM,نصب نرم افزار EOrg
HAM,انجام تنظيمات Office و ارائه نحو كار با آن در قسمت هاي مختلف
HAM,كيبرد اشكال دارد
SPAN,نياز به يك عدد سيم جمع كن
HAM,نصب نرم افزار
HAM,نياز به تغيير در نامه شماره 5701
SPAN,نياز به يك عدد DVD
HAM,اشكال در اينترانت
HAM,اشكال در نامه شماره 5518
HAM,اشكال در پرينتر
HAM,اشكال در چاپگر
HAM,چاپگر اشكال دارد
HAM,سيستم اشكال دارد(خ اسدي)
HAM,نياز به يك عدد چاپگر 3020
HAM,نصب پرينتر
HAM,نياز به يك عدد dslm modem1300
HAM,نياز به تعريف پرينتر شبكه
SPAN,نياز به تونر 3020
HAM,نياز به اشتراك گذاري پرينتر 2014
HAM,صدا سيستم قطع است .
SPAN,نياز به رول فكس پاناسونيك
HAM,سيستم اشكال دارد(كاروان بسيج)
HAM,سيستم اشكال دارد
HAM,سيستم اشكال دارد(خ نصير پور)
HAM,كيبرد اشكال دارد
HAM,اشكال در سيستم
HAM,اشكال در كيبرد
HAM,نياز به نصب نرم افزار
SPAN,نياز به يك عدد كابل usb
HAM,مشكل در ورود به eorg
HAM,چاپگر اشكال دارد
HAM,اشكال در ورود به Eorg
HAM,اضافه شدن پرينتر شبكه
HAM,انجام عمليات Small Office و اضافه شدن پرينتر 2550
SPAN,نياز به يك عدد محافظ برق
SPAN,نياز به يك عدد محافظ برق
SPAN,نياز به يك عدد محافظ برق
SPAN,نياز به تونر زرد2550
SPAN,نياز به تونر آبي 2550
HAM,نياز به تغيير سمت در EORG
HAM,نياز به تغيير سمت در EORG
HAM,نياز به تغيير سمت در EORG
HAM,اينترانت مشكل دارد .
SPAN,نياز به يك عدد كابل vga
HAM,ايراد در Cool Disk 5 GB
SPAN,نياز به ريبون 970 CXI   سنسور جلو 2 عدد
HAM,موس خراب مي باشد
SPAN,"نياز به 5 عدد CD , Floppy"
HAM,اضافه شدن به واحد چاپ در EORG
HAM,تغيير عنوان سمت در EORG
SPAN,نياز به تونر 2014
HAM,نياز به نصب چاپگر
HAM,پرينتر 970 اشكال دارد
HAM,اضافه كردن پرينتر تحت شبكه (2550 و 1320)
HAM,اشكال در چاپگر
HAM,اضافه كردن پرينتر هاي  1320 و 2550 و 1300
HAM,explorer مشكل دارد .
HAM,تنظيم زبان سيستم
HAM,اسپيكر خراب ميباشد
HAM,اشكال در Edit نامه
SPAN,تعويض كاتريج پرينتر 970 CXi
HAM,نياز به نصب نرم افزار
HAM,كيبورد اشكال دارد
HAM,سيستم اشكال دارد
HAM,سيستم روشن نمي شود
HAM,نياز به جابجايي سيستم
SPAN,نياز به رايت 20 عدد cd
HAM,سيستم مشكل دارد
HAM,نياز به جابه جايي و نصب راه اندازي سيستم يونيت
HAM,نياز به راه اندازي سيستم
HAM,نصب Frameworke 2.0
SPAN,تخصيص يك عدد كابل شبكه 5 متري
HAM,اشكال در چاپ
HAM,تعريف پرينتر تحت شبكه
HAM,اشكال در سيستم
HAM,تنظيم ساعت و تاريخ سيستم
HAM,تغيير سمت در Eorg
HAM,اشكال در سيستم و اينترانت
HAM,اشكال در درايور شبكه
HAM,port شبكه مشكل دارد .
HAM,اشكال در ارجاع نامه شماره 6374
SPAN,تحويل كابل 10 متري شبكه
HAM,اشكال در EORG
HAM,نياز به نصب نرم افزار
HAM,نياز به تعريف پرينتر تحت شبكه
HAM,اشكال در ويندوز و تنظيمات آن
HAM,مشكل در پرينتر و RealOne Player
HAM,تغيير تعريف درايور 2014 به 2010
HAM,نياز به تغيير رمز عبور EORG
SPAN,نياز به تعويض مونيتور
SPAN,نياز به يك عدد كابل شبكه
SPAN,نياز به تونر 1320
HAM,نياز به يك ست سيستم يونت
HAM,نياز به يك ست سيستم يونيت
HAM,نياز به يك عدد چاپگر 2014
HAM,نياز به تعريف چاپگر تحت شبكه
HAM,نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,نصب پرينتر شبكه
SPAN,نياز به 3 عدد CD
HAM,تغيير سمت در eorg
HAM,نياز به ايجاد نام كاربري در eorg
HAM,نياز به نصب چاپگر شبكه
SPAN,نياز به اسكنر موقت
HAM,تغيير پسورد Eorg
HAM,نياز به نصب نرم افزار
HAM,نياز به تعريف پرينتر شبكه
HAM,اشكال در نامه 2773
HAM,نياز به يك عدد سيستم يونيت اسپير
HAM,پرينتر 1300 اشكال دارد
SPAN,"نياز به تونر زرد ، آبي  چاپگر 2550"
SPAN,نياز به تونر 2550 آبي و مشكي
HAM,نصب درايور اسكنر 3490
SPAN,نياز به پرينتر 2014
SPAN,نياز به سيستم موقت
HAM,Ram  اشكال دارد
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,نياز به يك عدد پاور
HAM,برد هارد سوخته است
HAM,نياز به كابل 5 متري USB
SPAN,نياز به يك عدد پدموس
SPAN,نياز به يك عدد پد موس
SPAN,نياز به يك عدد پد موس
HAM,نياز به پد ماوس
SPAN,نياز به يك عدد CD
HAM,اضافه شدن به واحد چاپ
SPAN,نياز به رول فكس پاناسونيك  Kx-FM131
HAM,سيستم اشكال دارد
SPAN,نياز به 3 عدد فلاپي
HAM,نياز به جابجايي سيستم
HAM,تعريف پرينتر تحت شبكه
HAM,نياز به يك عدد مادر بورد
SPAN,نياز به رايت 3 عدد cd  حاوي اطلاعات
HAM,اشكال در ارجاع نامه
SPAN,نياز به يك ram ddr2
HAM,اشكال در چاپگر شبكه
HAM,اشكال در شبكه
HAM,نياز به رفع اشكال از كارت صوتي
SPAN,نياز به تونر 2014
HAM,نياز به كابل USB
HAM,ايراد در كارت گرافيك
HAM,اشكال در اجراي Ia
HAM,مادر برد خراب ميباشد(مادربورد خراب وغير قابل تعميير ميباشد)
HAM,اشكال در پرينتر شبكه
SPAN,نياز به يک عدد DVD جهت Backup
HAM,اشكال در پرينتر شبكه
HAM,نياز به كابل USB 5 متري
SPAN,نياز به تونر 1320
HAM,نياز به كابل USB  دو سر نري
HAM,موس خراب ميباشد
HAM,ايراد  5 عدد پاور
HAM,سيستم اشكال دارد
SPAN,نياز به تونر 1320
SPAN,نياز به 2 عدد تونر 1320
SPAN,نياز به كارتريج 930C
HAM,اشكال در چاپگر 930C
HAM,سيستم اشكال دارد
HAM,تعريف پرينتر تحت شبكه
SPAN,نياز به يك عدد كابل رابط usb
HAM,سيستم اشكال دارد
HAM,اشكال در نرم افزار EORG
HAM,اشكال در اينترنت
HAM,نياز به اسكنر موقت
HAM,نياز به يكعدد لپ تاپ
HAM,اشكال در كارت صوتي
HAM,نياز به نصب نرم افزار
HAM,نصب درايور اسكنر 3490
HAM,نياز به هارد و DVD Rom
SPAN,نياز به يك عدد كابل USB
HAM,نياز به تعويض موس دارد
HAM,سيستم اشكال دارد
SPAN,نياز به يك عدد موس
HAM,ضعيف شده نياز به تعويض ميباشد
HAM,نياز به تعريف پرينتر
HAM,نياز به تعريف پرينتر
HAM,نياز به تعريف پرينتر شبكه
HAM,اشكال در ارتباط كارت ساعت زني
HAM,ايجاد ساختار جديد در  eorg
HAM,نياز به تعريف چاپگر شبكه
HAM,اشكال در EORG
HAM,راه اندازي سرويس mailing
HAM,اشكال چاپگر
HAM,تعريف پرينتر
SPAN,نياز به تونر 2014
SPAN,نياز به تونر 2014
HAM,امكان چاپ نامه در eorg
HAM,سيستم اشكال دارد
SPAN,نياز به تونر آبي وقرمز ومشكي چاپگر 2550
SPAN,نياز به يك عدد چيپست چاپگر 2550 دارد
HAM,ايجاد تغييرات در نامه شماره 8789
HAM,اشكال در نامه شماره 8799
HAM,چاپگر اشكال دارد
HAM,چاپگر نياز به استفاده مشترك دارد
HAM,سيستم اشكال دارد
HAM,نياز به تعريف پرينتر تحت شبكه
HAM,اشكال در چاپگر
HAM,تغيير سمت در EORG
HAM,تغيير سمت در EORG
HAM,اشكال در سيستم
HAM,نياز به يك عدد كارت گرافيك
SPAN,نياز به كابل usb
HAM,اشكال در چاپگر و اسكنر
HAM,اشكال در اسكنر
HAM,اشكال در  EORG
HAM,نصب نرم افزار
HAM,اشكال در فونتهاي فارسي
HAM,اشكال در اسكنر
HAM,اشكال در چاپ نامه EORG
SPAN,سيستم اشكال دارد(نياز به يك عدد ram512)
HAM,اشكال در EORG
HAM,اشكال در نامه شماره 9194
SPAN,نياز به يك عدد cd جهت انتقال اطلاعات ورايت ‌آن
HAM,سيستم اشكال دارد
HAM,اشكال در سيستم
HAM,اشكال در سيستم
SPAN,نياز به يك عدد سيم سيار
SPAN,كارت گرافيك اشكال دارد(نياز به يك عدد كارت گرافيك)
SPAN,نياز به يك عدد كارت گرافيك
SPAN,نياز به يك عدد كابل usb
HAM,اشکال در EOrg
HAM,اشكال در Office
HAM,اشكال در سيستم
HAM,اشكال در سيستم
HAM,اشكال در اينترنت
HAM,اشكال در سيستم
HAM,نياز به يك عدد فيوزينگ فيلم
HAM,اشكال در EORG
HAM,اشكال در EORG
HAM,اشكال در شبكه
HAM,اشکال در پرينتر
SPAN,نياز به يك عدد فلاپي ديسك
HAM,اشكال در EORG
HAM,چاپگر اشكال دارد(نياز به يك عدد درام چاپگر 2550)
HAM,رايتراشكال دارد
SPAN,نياز به يك عدد موس
SPAN,نياز به يك عدد موس دارد
HAM,اشكال در KeyBoard
SPAN,نياز به يك عدد تونر
HAM,اشكال در اينترنت
SPAN,نياز به يك عدد محافظ برق
SPAN,نياز به هارد جهت Back Up
HAM,اشكال در اسپيكر
HAM,اشكال در تعريف پرينتر
HAM,اشكال در سيستم
HAM,اشكال در ويندوز
HAM,اشكال در چاپ
HAM,كيبرد مشكل دارد .
HAM,اشكال در EORG
HAM,اشكال در EORG
HAM,نياز به نرم افزار :  1- SQL Server 2008 EnterPrise  2- SQL Server 2008 Developer  3-Windows XP SPIII  4-Visual Studio 2008
HAM,اصلاخ امضا نامه 9597
HAM,اشكال در نامه شماره 9595
HAM,نياز به حذف اطلاعات
SPAN,نياز به Cool Disk 4 GB  يا Cool Disk 8 GB
HAM,اشكال در Eorg
HAM,نياز به تحويل سيستم (ست كامل)
HAM,نياز به پرينتر 1320
SPAN,نياز به تونر 1320
HAM,اشكال در پرينتر
HAM,تحويل سيستم جديد به آقاي غريب زاده
SPAN,نياز به كاغذ 132 ستوني
HAM,نياز به DVD Writer(رايتر خراب و غير قابل تعمير مي باشد)
HAM,نياز به نصب سيستم در محل
SPAN,نياز به يك عدد تونر 2014
HAM,سيستم اشكال دارد(بالا نمي آيد)
HAM,اشكال در EORG
HAM,اضافه كردن سمت جديد در EORG
HAM,مشكل در پرينت ضمائم
SPAN,نياز به يك عدد موس(خ منجزي)
HAM,سيستم نياز به سرويس دارد
HAM,سيستم اشكال دارد
HAM,سيستم نياز به سرويس دارد
SPAN,نياز به يك عدد سيم جمع كن
SPAN,نيازبه يك عدد سيم جمع كن
SPAN,نياز به يك عدد سيم جمع كن
HAM,نياز به سرويس سيتم
HAM,اشكال در ورود به سيستم اتوماسيون
HAM,كارت صدااشكال دارد
HAM,سيستم اشكال دارد
HAM,نياز به نصب نرم افزار TV CARD
HAM,نياز به يك دستگاه System Unit
HAM,نياز به يك عدد Ram 512 DDR
SPAN,نياز به 3 عدد DVD
HAM,ram اشكال دارد(نياز به يك عدد ram512 ddr)دارد  (خ نصير پور)  2142020005
HAM,اشكال در نامه شماره 9980
HAM,اشكال در پيدا كردن پيش نويس نامه
HAM,eorg اشكال دارد
HAM,نياز به تنظيمات چاپگر
HAM,نياز به UpDate سيستم جامع مالي
HAM,نياز به نصب سيستم جامع مالي
HAM,نياز به نصب سيستم جامع مالي
HAM,ايراد سخت افزاري
HAM,اشكال در ورود به سيستم اتوماسيون
HAM,اشكال در Office
SPAN,نياز به RAM 1GB
SPAN,نياز به Windiws 2003 Server
HAM,نياز به نصب ram بر روي سيستم
HAM,پرينتر اشكال دارد
HAM,تغيير رمز عبور در EORG
SPAN,نياز به تونر زرد -آبي-مشكي چاپگر 2550 دارد
HAM,شبكه قطع ميباشد
HAM,سيستم اشكال دارد
HAM,تغيير سمت در EORG
HAM,اشكال در ارجاعيات
HAM,نصب نرم افزار
HAM,ايراد در برنامه جامع مالي
HAM,پرينتر اشكال دارد
HAM,نياز به يك عدد كابل برق
HAM,نياز به نصب تونر2550 بر روي چاپگر
SPAN,نياز به تونر فاكس brother
HAM,اشكال در EORG
HAM,اشكال در چاپگر
HAM,مشكل در پرينتر 1320
HAM,مشكل دارد
HAM,سيستم جامع اشكال دارد
HAM,نياز به يك عدد پرينتر اسپر ( خ اسدي)ونصب
HAM,نصب و راه اندازي سيستم
HAM,جهت برنامه ريزي دستگاه تراش
HAM,administrator كردن كاربر
SPAN,نياز به يك عدد تونر 1320دارد
HAM,نياز به نصب مجدد پرينتر
HAM,اشكال در چاپگر
HAM,نصب نرم افزار
SPAN,نياز به يك عدد موس جهت NOTE BOOK
HAM,اشكال در extra
HAM,اشكال در سيستم
HAM,اشكال در ورود به سيستم اتوماسيون
SPAN,نياز به يك عدد CD
HAM,نياز به نصب ويندوز
HAM,اشكال در EORG
HAM,نصب و راهن اندازي سيستم يونيت + نصب پرينتر 2014 + تعريف پرينتر تحت شبكه + نصب نرم افزار
SPAN,نياز به يك عدد كابل شبكه 3متري
HAM,نياز به اعمال تنظيمات ويندوز
HAM,اشكال در نامه 10484
HAM,اشكال در اينترانت
SPAN,نياز به دو عدد پد ماوس
SPAN,نياز به يك عدد محافظ برق 4 سوكته (خراب تحويل واحد پشتيباني گرديد)
HAM,اشكال در كارت صوتي
HAM,ايجاد سمت رئيس تداركات و امور كالا شركت نفت و گاز گچساران
HAM,نصب و راه اندازي سيستم
HAM,اشكال در نامه هاي 10590 و 10670
HAM,نياز به نصب ويندوز وتمامي نرم افزارهاي جانبي در محل
HAM,چاپگر اشكال دارد
SPAN,نياز به يك عدد تونر زرد چاپگر 2550 دارد
SPAN,نياز به كاغذ 80 ستوني
HAM,نياز به نصب ويروس كش ونرم افزارهاي جانبي
SPAN,نياز به يك عدد موس وپدموس دارد(خراب ميباشد)
SPAN,درخواست شارژ تونرهاي مصرف شده
HAM,پرينتر اشكال دارد
HAM,اشكال در چاپگر شبكه
SPAN,نياز به 3 عدد محافظ و 2عدد تبديل 2 به 3
HAM,نياز به اعمال تغييرات و حذف اطلاعات
HAM,اشكال در پرينت EORG
HAM,اشكال در EORG
SPAN,نياز به يك عدد تونر زرد چاپگر 2550
HAM,اشكال در پرينتر
HAM,اسكنر چاپگر اشكال دارد
SPAN,نياز به يك عدد تونر آبي ويك عدد تونر قرمزچاپگر 2550
SPAN,نياز به يك عدد كابل lpt ميباشد(كابل usb)سالم تحويل انبار شد
HAM,نياز به نصب پرينتر تحت شبكه
SPAN,نياز به يك عدد MOUSE PAD و يك عدد CD BOX
HAM,اشكال در ويندوز
SPAN,نياز به يك عدد MOUSE
HAM,اشكال در اينترنت
HAM,طراحي Photo Shop
HAM,نصب نرم افزار سيستم جامع انساني
HAM,نصب نرم افزار
HAM,تنظيم صفحات EORG
SPAN,نياز به تونر 53A
HAM,نياز به نصب نرم افزار
HAM,اشكال در EORG
HAM,اشكال در EORG
HAM,اشكال در اينترنت
HAM,اشكال در سيستم
HAM,نياز به نصب نرم افزارهاي   1- DVD PLAYER  2- NERO 8  3-ACD SEE  4- نرم افزار دوربين ديجيتال
HAM,سيستم اشكال دارد
HAM,نياز به نصب نرم افزار
HAM,موس اشكال دارد
SPAN,نياز به 3 عدد كابل Power و يك عدد كابل شبكه 5 متر
HAM,اشكال در شبكه
HAM,اشكال در شبكه
HAM,ايجا سمت رئيس ايمني بهداشت و محيط زيست شركت پيرا حفاري
HAM,اشكال در ويندوز
HAM,اشكال در شبكه و اينترانت و سيستم جامع
HAM,نياز به نصب نرم افزار
HAM,سيستم اشكال دارد
HAM,اشكال در ورود به EOrg
HAM,اشكال در تنظيمات اينترانت
HAM,اشكال در ارسال پيام در Eorg
HAM,نياز به نصب نرم افزار
HAM,اشكال در نرم افزار internet Explorer
HAM,ايجاد user جديد و ست كردن پسورد آن
HAM,تغيير پسورد User
HAM,اشكال در اينترانت و اينترنت
HAM,فكس اشكال دارد
SPAN,نياز به تونر زردوچيپست دارم چاپگر 2550
HAM,اشكال در اينترانت و شبكه
HAM,تغيير در نام و آيكون user
HAM,نياز به پرينتر تحت شبكه 1320
HAM,اشكال در Eorg
HAM,سيستم اشكال دارد
HAM,سيستم اشكال دارد
SPAN,نياز به يك عدد كولد ديسك
SPAN,نياز به رايت يك عدد ويندوز ويستا
HAM,اشكال در سيستم
HAM,اشكال در شبكه
HAM,اشكال در كارت صوتي
HAM,اشكال در شبكه
HAM,اشكال در EORG
HAM,اشكال در EORG
HAM,نياز به تعريف پرينتر تحت شبكه
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب  فريم ورك 3
HAM,نياز به نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,نياز به نصب نرم افزار
HAM,نياز به نصب  فريم ورك 3
SPAN,نياز به يك عدد تونر 78 و45 چابر 950c
HAM,اشكال در eorg
SPAN,نياز به يك عدد پد موس
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,نصب نرم افزار
HAM,سيستم اشكال دارد (نصب مجدد ويندوز وتمامي نرم افزارها)
HAM,سيستم اشكال دارد
HAM,اشكال در Eorg
HAM,تغيير پسورد user
HAM,مشكل در نرم افزار
HAM,اشكال در پرينتر 2010
HAM,اشكال در سيستم
HAM,سيستم اشكال دارد
HAM,شبكه قطع ميباشد
SPAN,نياز به رايت اطلاعات
SPAN,اشكال در موس
SPAN,موس اشكال دارد - كليك موس اشكال دارد
HAM,نياز به نصب رايتر بر روي سيستم
HAM,اشكال در ماوس
HAM,اشكال در ورود به سيستم EOrg
HAM,سيستم اشكال دارد
HAM,نياز به ساختن يك userجديد وتنظيمات لازم
HAM,نياز به نصب نرم افزار framework3.5
HAM,نياز به نصب نرم افزار framework3.5
HAM,نياز به نصب نرم افزار framework3.5
HAM,نياز به نصب نرم افزار framework3.5
HAM,نياز به نصب نرم افزار framework3.5
SPAN,نياز به شارژ تونر
HAM,ارسال لپ تاپ جهت گارانتي
SPAN,نياز به يك عدد Cool Disk 4 GB
HAM,اشكال در eorg
HAM,اشكال در EORG
HAM,نياز به نصب مجدد ويندوز
HAM,اشكال در سيستم
HAM,اشكال در سيستم
SPAN,نياز به تونر قرمز و آبي 2550
HAM,اشكال در ورود به ويندوز
HAM,اشكال در كارتريج رنگي
HAM,اشكال در شبكه
HAM,كاغذ در چاپگر 2550 گير كرده است
HAM,اشكال در نامه شماره 11801
HAM,اشكال در شبكه
HAM,اشكال در EORG
SPAN,نياز به تونر زرد 2550
HAM,اشكال در سيستم
HAM,اشكال در ورود به ويندوز
HAM,اشكال در حذف فايل ها
HAM,اشكال در ويندوز
HAM,نصب نرم افزار
HAM,اشكال در اتصال به اينترنت
HAM,اشكال در سيستم
HAM,اشكال در Office
SPAN,نياز به تونر قرمز 2550
HAM,اشكال در EORG
HAM,اشكال در چاپگر 2550
HAM,اشكال در اينترنت
HAM,اشكال در سيستم
HAM,ايجاد نام كاربري جهت منشي دفتر
HAM,به اشتراك گذاري EORG
HAM,يك بسته كابل شبكه brand rex
HAM,اشكال در رمز عبور EORG
HAM,كارت صدا قطع ميباشد
HAM,تحويل Laptop
HAM,تحويل 1 دستگاه Laptop
HAM,اشكال در پرينتر شبكه
SPAN,نياز به 6 عدد cd
HAM,ايجاد سمت آقاي پرهيزكار در EORG
SPAN,نياز به يك عدد فيلم فيوزينگ
HAM,نياز به نصب ويندوز و تمامي نرم افزار هاي سيستم
HAM,نياز به نصب ويندوز و تمامي نرم افزار هاي سيستم
HAM,نياز به نصب ويندوز و تمامي نرم افزار هاي سيستم
HAM,نياز به نصب ويندوز و تمامي نرم افزار هاي سيستم
HAM,نياز به نصب ويندوز و تمامي نرم افزار هاي سيستم
HAM,تغيير در الگوهاي نامه صادره EORG
SPAN,نياز به پرينتر موقت
HAM,اشكال در ارسال نامه در EORG
HAM,نياز به نصب ويندوز و تمامي نرم افزارهاي سيستم
HAM,نياز به كيبورد
HAM,نياز به كيبورد
HAM,ايجاد سمت كاربري آقاي مسعود يزدي
HAM,ايجاد سمت كاربري آقاي افشين مستحسن
HAM,ايجاد سمت كاربري خانم پگاه برات زاده
HAM,اشكال در سيستم
HAM,اشكال در EORG
HAM,اشكال در ورود به EORG
HAM,نياز به نصب ويندوز
HAM,نياز به نصب ويندوز
